County,City,Model Year,Make,Model,Electric Vehicle Type,CAFV Status,Electric Range,Electric Utility,Vehicle Age
Snohomish,Bothell,2025,TESLA,MODEL Y,BEV,,,Puget Sound Energy,1
King,Sammamish,2023,VOLKSWAGEN,ID.4,BEV,,,Puget Sound Energy,3
King,Mercer Island,2021,TESLA,MODEL Y,BEV,,,Puget Sound Energy,5
Kitsap,Kingston,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Seattle,2025,HYUNDAI,IONIQ 5,BEV,,,City Of Seattle,1
King,Seattle,2023,TESLA,MODEL 3,BEV,,,City Of Seattle,3
Clark,Vancouver,2019,TESLA,MODEL S,BEV,Eligible,270.0,Bonneville Power Administration,7
King,Kent,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
King,Seatac,2023,NISSAN,ARIYA HATCHBACK,BEV,,,City Of Seattle,3
King,Snoqualmie,2023,RIVIAN,R1S,BEV,,,Puget Sound Energy,3
Thurston,Lacey,2025,BMW,I4,BEV,,,Puget Sound Energy,1
King,Kent,2024,CHEVROLET,EQUINOX,BEV,,,Puget Sound Energy,2
King,Renton,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
King,Covington,2022,FORD,F-150,BEV,,,Puget Sound Energy,4
King,Kent,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
King,Covington,2025,TESLA,MODEL Y,BEV,,,Puget Sound Energy,1
King,Bellevue,2024,TESLA,MODEL 3,BEV,,,Puget Sound Energy,2
Yakima,Yakima,2022,CHEVROLET,BOLT EUV,BEV,,,Pacificorp,4
King,Seattle,2023,TESLA,MODEL Y,BEV,,,City Of Seattle,3
King,Redmond,2024,TESLA,MODEL 3,BEV,,,Puget Sound Energy,2
King,Seattle,2024,TESLA,MODEL 3,BEV,,,City Of Seattle,2
King,Seattle,2025,TESLA,MODEL Y,BEV,,,City Of Seattle,1
King,Seattle,2026,TESLA,MODEL Y,BEV,,,City Of Seattle,0
King,Seattle,2025,RIVIAN,R1S,BEV,,,City Of Seattle,1
Clark,Vancouver,2018,FORD,FUSION,PHEV,Not Eligible (Low Range),21.0,Bonneville Power Administration,8
King,Kent,2019,TESLA,MODEL 3,BEV,Eligible,220.0,Puget Sound Energy,7
Snohomish,Bothell,2021,TESLA,MODEL Y,BEV,,,Puget Sound Energy,5
King,Kent,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
King,Sammamish,2022,TESLA,MODEL 3,BEV,,,Puget Sound Energy,4
King,Burien,2022,BMW,X5,PHEV,Eligible,30.0,Puget Sound Energy,4
King,Bellevue,2024,HONDA,PROLOGUE,BEV,,,Puget Sound Energy,2
King,Seattle,2023,KIA,EV6,BEV,,,City Of Seattle,3
King,Sammamish,2023,NISSAN,ARIYA HATCHBACK,BEV,,,Puget Sound Energy,3
King,Issaquah,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Sammamish,2025,KIA,NIRO,BEV,,,Puget Sound Energy,1
King,Seattle,2024,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,42.0,City Of Seattle,2
King,Shoreline,2024,TESLA,MODEL Y,BEV,,,City Of Seattle,2
King,Sammamish,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Clark,Battle Ground,2023,TESLA,MODEL Y,BEV,,,Bonneville Power Administration,3
King,Snoqualmie,2023,FORD,MUSTANG MACH-E,BEV,,,Puget Sound Energy,3
King,Seattle,2017,CHEVROLET,BOLT EV,BEV,Eligible,238.0,City Of Seattle,9
Clark,Vancouver,2013,FORD,C-MAX,PHEV,Not Eligible (Low Range),19.0,Bonneville Power Administration,13
Thurston,Olympia,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Federal Way,2020,TESLA,MODEL Y,BEV,Eligible,291.0,Puget Sound Energy,6
King,Covington,2026,TESLA,MODEL Y,BEV,,,Puget Sound Energy,0
Thurston,Tenino,2024,CHEVROLET,BLAZER,BEV,,,Puget Sound Energy,2
King,Bellevue,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Seattle,2023,RIVIAN,R1S,BEV,,,City Of Seattle,3
King,Maple Valley,2022,FORD,MUSTANG MACH-E,BEV,,,Puget Sound Energy,4
King,Seattle,2020,AUDI,Q5 E,PHEV,Not Eligible (Low Range),20.0,City Of Seattle,6
King,Seattle,2025,FORD,MUSTANG MACH-E,BEV,,,City Of Seattle,1
King,Federal Way,2017,TESLA,MODEL S,BEV,Eligible,210.0,Puget Sound Energy,9
King,Bellevue,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
King,Seattle,2022,KIA,EV6,BEV,,,City Of Seattle,4
King,Seattle,2021,TESLA,MODEL Y,BEV,,,City Of Seattle,5
King,Seattle,2023,TOYOTA,RAV4 PRIME (PHEV),PHEV,Eligible,42.0,City Of Seattle,3
Clark,Vancouver,2023,TESLA,MODEL Y,BEV,,,Bonneville Power Administration,3
Snohomish,Lake Stevens,2014,CHEVROLET,SPARK,BEV,Eligible,82.0,Puget Sound Energy,12
Kitsap,Port Orchard,2023,VOLVO,XC40,BEV,,,Puget Sound Energy,3
King,Mercer Island,2023,TESLA,MODEL 3,BEV,,,Puget Sound Energy,3
King,Bellevue,2023,VOLKSWAGEN,ID.4,BEV,,,Puget Sound Energy,3
King,Des Moines,2020,CHEVROLET,BOLT EV,BEV,Eligible,259.0,Puget Sound Energy,6
King,Issaquah,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
Thurston,Olympia,2022,KIA,SORENTO,PHEV,Eligible,32.0,Puget Sound Energy,4
King,Sammamish,2017,TESLA,MODEL X,BEV,Eligible,200.0,Puget Sound Energy,9
King,Enumclaw,2020,CHEVROLET,BOLT EV,BEV,Eligible,259.0,Puget Sound Energy,6
King,Federal Way,2024,TESLA,MODEL Y,BEV,,,Puget Sound Energy,2
King,Seattle,2023,CHEVROLET,BOLT EV,BEV,,,City Of Seattle,3
King,Federal Way,2024,TOYOTA,BZ4X,BEV,,,Puget Sound Energy,2
King,Seattle,2024,AUDI,Q5 E,PHEV,Not Eligible (Low Range),23.0,City Of Seattle,2
Clark,Vancouver,2022,TESLA,MODEL 3,BEV,,,Bonneville Power Administration,4
King,Bellevue,2023,RIVIAN,R1T,BEV,,,Puget Sound Energy,3
Kitsap,Kingston,2016,FORD,FOCUS,BEV,Eligible,76.0,Puget Sound Energy,10
King,Issaquah,2022,TESLA,MODEL 3,BEV,,,Puget Sound Energy,4
Cowlitz,Kelso,2022,TESLA,MODEL 3,BEV,,,Bonneville Power Administration,4
King,Redmond,2022,TESLA,MODEL 3,BEV,,,Puget Sound Energy,4
King,Clyde Hill,2016,TESLA,MODEL X,BEV,Eligible,200.0,Puget Sound Energy,10
King,Seattle,2023,TESLA,MODEL 3,BEV,,,City Of Seattle,3
King,Snoqualmie,2025,TESLA,MODEL 3,BEV,,,Puget Sound Energy,1
King,Lake Forest Park,2024,HYUNDAI,IONIQ 5,BEV,,,City Of Seattle,2
King,Duvall,2023,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Puget Sound Energy,3
King,Kent,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Sammamish,2018,CHEVROLET,VOLT,PHEV,Eligible,53.0,Puget Sound Energy,8
King,Federal Way,2020,TESLA,MODEL 3,BEV,Eligible,322.0,Puget Sound Energy,6
King,Seattle,2024,HYUNDAI,IONIQ 6,BEV,,,City Of Seattle,2
King,Seattle,2023,AUDI,Q4,BEV,,,City Of Seattle,3
King,Sammamish,2023,TESLA,MODEL Y,BEV,,,Puget Sound Energy,3
King,Seattle,2023,AUDI,Q4,BEV,,,City Of Seattle,3
Thurston,Olympia,2012,CHEVROLET,VOLT,PHEV,Eligible,35.0,Puget Sound Energy,14
King,Redmond,2023,HYUNDAI,IONIQ 5,BEV,,,Puget Sound Energy,3
Kitsap,Poulsbo,2022,NISSAN,LEAF,BEV,,,Puget Sound Energy,4
King,Renton,2025,MITSUBISHI,OUTLANDER,PHEV,Eligible,38.0,Puget Sound Energy,1
Snohomish,Bothell,2020,TESLA,MODEL 3,BEV,Eligible,266.0,Puget Sound Energy,6
Clark,Vancouver,2024,TESLA,MODEL Y,BEV,,,Bonneville Power Administration,2
King,Sammamish,2021,AUDI,Q5 E,PHEV,Not Eligible (Low Range),18.0,Puget Sound Energy,5
King,Burien,2024,AUDI,Q8,BEV,,,Puget Sound Energy,2
Clark,Vancouver,2023,FORD,F-150,BEV,,,Bonneville Power Administration,3
Clark,Ridgefield,2025,AUDI,Q4,BEV,,,Bonneville Power Administration,1
King,Sammamish,2022,TESLA,MODEL Y,BEV,,,Puget Sound Energy,4
King,Maple Valley,2018,TESLA,MODEL 3,BEV,Eligible,215.0,Puget Sound Energy,8
Jefferson,Port Townsend,2022,RIVIAN,R1T,BEV,,,Bonneville Power Administration,4
King,Sammamish,2022,VOLKSWAGEN,ID.4,BEV,,,Puget Sound Energy,4
Clark,Vancouver,2022,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Bonneville Power Administration,4
King,Sammamish,2022,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Puget Sound Energy,4
King,Shoreline,2025,RIVIAN,R1S,BEV,,,City Of Seattle,1
King,Maple Valley,2023,TESLA,MODEL 3,BEV,,,Puget Sound Energy,3
King,Seattle,2024,TESLA,MODEL Y,BEV,,,City Of Seattle,2
King,Shoreline,2019,NISSAN,LEAF,BEV,Eligible,150.0,City Of Seattle,7
King,Seattle,2021,VOLVO,XC40,BEV,,,City Of Seattle,5
King,Federal Way,2019,MERCEDES-BENZ,GLC-CLASS,PHEV,Not Eligible (Low Range),10.0,Puget Sound Energy,7
King,Sammamish,2013,NISSAN,LEAF,BEV,Eligible,75.0,Puget Sound Energy,13
Snohomish,Bothell,2023,RIVIAN,R1S,BEV,,,Puget Sound Energy,3
King,Federal Way,2012,CHEVROLET,VOLT,PHEV,Eligible,35.0,Bonneville Power Administration,14
King,Seattle,2025,LEXUS,NX,PHEV,Eligible,37.0,City Of Seattle,1
King,Seattle,2025,SUBARU,SOLTERRA,BEV,,,City Of Seattle,1
King,Maple Valley,2021,JEEP,WRANGLER,PHEV,Not Eligible (Low Range),21.0,Puget Sound Energy,5
King,Seattle,2019,BMW,I3,PHEV,Eligible,126.0,City Of Seattle,7
King,Seattle,2023,HYUNDAI,IONIQ 5,BEV,,,City Of Seattle,3
King,Seattle,2015,NISSAN,LEAF,BEV,Eligible,84.0,City Of Seattle,11
King,Federal Way,2023,TESLA,MODEL 3,BEV,,,Puget Sound Energy,3
King,Mercer Island,2024,AUDI,Q4,BEV,,,Puget Sound Energy,2
King,Auburn,2023,TESLA,MODEL X,BEV,,,Puget Sound Energy,3
Clark,Vancouver,2023,HYUNDAI,IONIQ 5,BEV,,,Bonneville Power Administration,3
King,Seattle,2022,TESLA,MODEL 3,BEV,,,City Of Seattle,4
King,Kent,2016,TESLA,MODEL S,BEV,Eligible,210.0,Puget Sound Energy,10
Clark,Ridgefield,2023,TESLA,MODEL 3,BEV,,,Bonneville Power Administration,3
King,Seatac,2025,TESLA,MODEL Y,BEV,,,City Of Seattle,1
Snohomish,Monroe,2025,TESLA,MODEL 3,BEV,,,Puget Sound Energy,1
Clark,Battle Ground,2022,TESLA,MODEL 3,BEV,,,Bonneville Power Administration,4
